NN1:,0.5251
NN1p:,0.6202
NN2:,0.4319
NN2p:,0.2815
Para:,0.9758

Number of evaluation data: ,10000
Total number of correct results:,9758
Number of results when both subnetworks are right:,1760
Number of results when only network1 is wrong:,1014
Number of results when only network2 is wrong:,4433
Number of results when both subnetworks are wrong but the combined network is right:,2551

Detailed results when both subnetworks are wrong:,
8,1,5
9,1,5
2,1,5
6,1,5
7,1,5
9,1,5
9,1,5
8,1,5
7,1,5
9,1,5
4,1,5
2,1,5
7,1,5
9,1,5
9,1,5
2,1,5
9,1,5
8,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
6,1,5
9,1,5
6,1,5
9,1,5
6,1,5
2,1,5
7,1,5
7,1,5
9,1,5
8,1,5
7,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
7,1,5
9,1,5
7,1,5
2,1,5
4,1,5
9,1,5
0,1,5
2,1,5
4,1,5
8,1,5
3,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
2,1,5
2,1,5
2,1,5
7,1,5
9,1,5
2,1,5
7,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
4,1,5
9,1,5
2,1,5
9,1,5
9,1,5
6,1,5
9,1,5
2,1,5
7,1,5
8,1,5
8,1,5
3,1,5
4,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
3,1,5
9,1,5
8,1,5
9,1,5
9,1,5
2,1,5
7,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
4,1,5
2,1,5
9,1,5
9,1,5
2,1,5
3,1,5
2,1,5
9,1,5
9,1,5
9,1,5
7,1,5
9,1,5
8,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
9,1,5
9,1,5
4,1,5
2,1,5
6,1,5
6,1,5
2,1,5
2,1,5
2,1,5
2,1,5
6,1,5
9,1,5
8,1,5
2,1,5
2,1,5
6,1,5
9,1,5
8,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
6,1,5
2,1,5
0,1,5
9,1,5
9,1,5
6,1,5
6,1,5
7,1,5
2,1,5
6,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
6,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
9,1,5
2,1,5
8,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
8,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
3,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
4,1,5
2,1,5
9,1,5
2,1,5
2,1,5
6,1,5
9,1,5
2,1,5
6,1,5
2,1,5
3,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
8,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
2,1,5
9,1,5
7,1,5
9,1,5
7,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
7,1,5
9,1,5
2,1,5
2,1,5
6,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
6,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
8,1,5
9,1,5
2,1,5
7,1,5
2,1,5
2,1,5
8,1,5
7,1,5
7,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
3,1,5
2,1,5
9,1,5
9,1,5
3,1,5
2,1,5
2,1,5
9,1,5
9,1,5
6,1,5
6,1,5
9,1,5
9,1,5
9,1,5
6,1,5
2,1,5
2,1,5
7,1,5
8,1,5
7,1,5
9,1,5
9,1,5
0,1,5
2,1,5
6,1,5
2,1,5
8,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
2,1,5
0,1,5
7,1,5
9,1,5
6,1,5
2,1,5
2,1,5
6,1,5
9,1,5
7,1,5
6,1,5
9,1,5
2,1,5
2,1,5
3,1,5
7,1,5
2,1,5
7,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
6,1,5
8,1,5
9,1,5
2,1,5
2,1,5
9,1,5
7,1,5
8,1,5
8,1,5
2,1,5
9,1,5
9,1,5
6,1,5
9,1,5
9,1,5
2,1,5
2,1,5
3,1,5
6,1,5
9,1,5
7,1,5
9,1,5
2,1,5
3,1,5
6,1,5
6,1,5
4,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
7,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
8,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
4,1,5
8,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
3,1,5
8,1,5
7,1,5
9,1,5
9,1,5
9,1,5
6,1,5
7,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
6,1,5
4,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
3,1,5
9,1,5
2,1,5
6,1,5
2,1,5
7,1,5
6,1,5
3,1,5
2,1,5
2,1,5
9,1,5
9,1,5
3,1,5
9,1,5
0,1,5
9,1,5
8,1,5
8,1,5
2,1,5
6,1,5
2,1,5
9,1,5
7,1,5
7,1,5
6,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
3,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
3,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
6,1,5
8,1,5
9,1,5
0,1,5
6,1,5
9,1,5
3,1,5
2,1,5
6,1,5
2,1,5
2,1,5
6,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
7,1,5
2,1,5
2,1,5
7,1,5
9,1,5
2,1,5
8,1,5
2,1,5
2,1,5
9,1,5
3,1,5
6,1,5
9,1,5
9,1,5
9,1,5
7,1,5
2,1,5
3,1,5
2,1,5
9,1,5
9,1,5
7,1,5
2,1,5
2,1,5
2,1,5
6,1,5
9,1,5
0,1,5
2,1,5
2,1,5
9,1,5
6,1,5
8,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
8,1,5
2,1,5
2,1,5
8,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
0,1,5
2,1,5
2,1,5
2,1,5
6,1,5
7,1,5
0,1,5
2,1,5
9,1,5
8,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
6,1,5
8,1,5
9,1,5
9,1,5
8,1,5
8,1,5
8,1,5
7,1,5
8,1,5
9,1,5
9,1,5
6,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
6,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
8,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
2,1,5
8,1,5
0,1,5
4,1,5
2,1,5
9,1,5
6,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
8,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
9,1,5
6,1,5
2,1,5
9,1,5
9,1,5
8,1,5
6,1,5
9,1,5
9,1,5
3,1,5
2,1,5
8,1,5
2,1,5
3,1,5
9,1,5
9,1,5
7,1,5
2,1,5
7,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
8,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
4,1,5
9,1,5
9,1,5
9,1,5
8,1,5
2,1,5
2,1,5
4,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
4,1,5
2,1,5
9,1,5
2,1,5
8,1,5
9,1,5
2,1,5
9,1,5
3,1,5
2,1,5
2,1,5
2,1,5
9,1,5
4,1,5
6,1,5
2,1,5
9,1,5
4,1,5
2,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
7,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
7,1,5
9,1,5
2,1,5
8,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
9,1,5
4,1,5
2,1,5
2,1,5
9,1,5
6,1,5
2,1,5
6,1,5
7,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
8,1,5
7,1,5
2,1,5
9,1,5
2,1,5
2,1,5
3,1,5
8,1,5
2,1,5
2,1,5
6,1,5
9,1,5
8,1,5
6,1,5
9,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
7,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
9,1,5
7,1,5
7,1,5
6,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
6,1,5
2,1,5
2,1,5
9,1,5
7,1,5
2,1,5
2,1,5
9,1,5
8,1,5
6,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
6,1,5
8,1,5
9,1,5
6,1,5
8,1,5
7,1,5
6,1,5
2,1,5
9,1,5
8,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
2,1,5
9,1,5
8,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
8,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
8,1,5
9,1,5
8,1,5
2,1,5
2,1,5
2,1,5
2,1,5
3,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
4,1,5
2,1,5
2,1,5
2,1,5
9,1,5
8,1,5
2,1,5
2,1,5
6,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
9,1,5
9,1,5
8,1,5
2,1,5
2,1,5
2,1,5
6,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
7,1,5
8,1,5
2,1,5
7,1,5
8,1,5
9,1,5
6,1,5
2,1,5
9,1,5
2,1,5
8,1,5
8,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
3,1,5
9,1,5
8,1,5
9,1,5
3,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
4,1,5
6,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
8,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
8,1,5
3,1,5
2,1,5
2,1,5
8,1,5
9,1,5
2,1,5
8,1,5
7,1,5
2,1,5
8,1,5
6,1,5
6,1,5
8,1,5
4,1,5
9,1,5
6,1,5
8,1,5
2,1,5
9,1,5
2,1,5
4,1,5
9,1,5
9,1,5
9,1,5
7,1,5
2,1,5
2,1,5
2,1,5
9,1,5
8,1,5
2,1,5
9,1,5
9,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
8,1,5
6,1,5
3,1,5
2,1,5
2,1,5
7,1,5
2,1,5
2,1,5
2,1,5
7,1,5
3,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
7,1,5
2,1,5
9,1,5
9,1,5
2,1,5
6,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
8,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
8,1,5
2,1,5
2,1,5
9,1,5
6,1,5
8,1,5
8,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
3,1,5
2,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
4,1,5
9,1,5
2,1,5
8,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
8,1,5
9,1,5
9,1,5
8,1,5
9,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
8,1,5
9,1,5
9,1,5
6,1,5
2,1,5
7,1,5
9,1,5
2,1,5
2,1,5
8,1,5
8,1,5
2,1,5
9,1,5
2,1,5
9,1,5
4,1,5
7,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
6,1,5
9,1,5
7,1,5
6,1,5
4,1,5
9,1,5
9,1,5
0,1,5
2,1,5
2,1,5
2,1,5
9,1,5
8,1,5
6,1,5
2,1,5
2,1,5
2,1,5
8,1,5
9,1,5
2,1,5
2,1,5
2,1,5
7,1,5
0,1,5
6,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
9,1,5
8,1,5
2,1,5
9,1,5
4,1,5
9,1,5
9,1,5
8,1,5
8,1,5
8,1,5
9,1,5
6,1,5
2,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
6,1,5
2,1,5
2,1,5
3,1,5
2,1,5
8,1,5
9,1,5
2,1,5
8,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
0,1,5
9,1,5
6,1,5
2,1,5
6,1,5
3,1,5
6,1,5
9,1,5
2,1,5
8,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
3,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
9,1,5
9,1,5
7,1,5
2,1,5
6,1,5
2,1,5
7,1,5
7,1,5
2,1,5
9,1,5
2,1,5
2,1,5
6,1,5
9,1,5
3,1,5
6,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
3,1,5
2,1,5
9,1,5
9,1,5
6,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
8,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
6,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
2,1,5
2,1,5
6,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
6,1,5
9,1,5
2,1,5
6,1,5
0,1,5
2,1,5
9,1,5
6,1,5
8,1,5
2,1,5
9,1,5
9,1,5
9,1,5
6,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
3,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
4,1,5
8,1,5
9,1,5
2,1,5
2,1,5
7,1,5
9,1,5
9,1,5
3,1,5
9,1,5
2,1,5
8,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
8,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
6,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
8,1,5
9,1,5
2,1,5
9,1,5
8,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
6,1,5
4,1,5
0,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
7,1,5
2,1,5
3,1,5
9,1,5
7,1,5
9,1,5
9,1,5
3,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
7,1,5
9,1,5
2,1,5
2,1,5
2,1,5
4,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
2,1,5
3,1,5
9,1,5
9,1,5
9,1,5
8,1,5
2,1,5
6,1,5
9,1,5
2,1,5
9,1,5
3,1,5
2,1,5
2,1,5
6,1,5
6,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
0,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
6,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
9,1,5
7,1,5
2,1,5
9,1,5
6,1,5
9,1,5
2,1,5
6,1,5
9,1,5
2,1,5
2,1,5
9,1,5
6,1,5
9,1,5
8,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
8,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
7,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
8,1,5
6,1,5
9,1,5
6,1,5
2,1,5
9,1,5
2,1,5
3,1,5
9,1,5
2,1,5
9,1,5
6,1,5
6,1,5
9,1,5
8,1,5
9,1,5
8,1,5
9,1,5
9,1,5
9,1,5
7,1,5
9,1,5
9,1,5
8,1,5
6,1,5
9,1,5
6,1,5
7,1,5
9,1,5
4,1,5
9,1,5
2,1,5
8,1,5
6,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
0,1,5
9,1,5
2,1,5
9,1,5
7,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
6,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
8,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
0,1,5
9,1,5
2,1,5
9,1,5
6,1,5
2,1,5
8,1,5
7,1,5
2,1,5
9,1,5
7,1,5
8,1,5
3,1,5
7,1,5
2,1,5
2,1,5
6,1,5
6,1,5
7,1,5
2,1,5
2,1,5
2,1,5
7,1,5
9,1,5
7,1,5
2,1,5
2,1,5
2,1,5
2,1,5
3,1,5
2,1,5
8,1,5
7,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
7,1,5
9,1,5
6,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
3,1,5
6,1,5
7,1,5
9,1,5
2,1,5
9,1,5
3,1,5
2,1,5
7,1,5
9,1,5
9,1,5
3,1,5
2,1,5
6,1,5
2,1,5
7,1,5
2,1,5
2,1,5
0,1,5
6,1,5
2,1,5
6,1,5
6,1,5
6,1,5
2,1,5
6,1,5
9,1,5
8,1,5
9,1,5
7,1,5
9,1,5
7,1,5
7,1,5
9,1,5
7,1,5
6,1,5
8,1,5
9,1,5
7,1,5
9,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
6,1,5
2,1,5
2,1,5
3,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
6,1,5
2,1,5
2,1,5
9,1,5
2,1,5
7,1,5
8,1,5
9,1,5
2,1,5
9,1,5
7,1,5
9,1,5
9,1,5
9,1,5
2,1,5
0,1,5
9,1,5
8,1,5
2,1,5
0,1,5
9,1,5
8,1,5
9,1,5
8,1,5
6,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
6,1,5
8,1,5
7,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
3,1,5
2,1,5
2,1,5
6,1,5
6,1,5
9,1,5
2,1,5
6,1,5
8,1,5
2,1,5
3,1,5
9,1,5
2,1,5
2,1,5
9,1,5
0,1,5
2,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
8,1,5
2,1,5
2,1,5
2,1,5
2,1,5
9,1,5
8,1,5
2,1,5
2,1,5
3,1,5
2,1,5
2,1,5
2,1,5
2,1,5
6,1,5
8,1,5
2,1,5
2,1,5
2,1,5
4,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
0,1,5
6,1,5
2,1,5
8,1,5
2,1,5
2,1,5
2,1,5
9,1,5
6,1,5
2,1,5
3,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
9,1,5
7,1,5
7,1,5
9,1,5
2,1,5
2,1,5
2,1,5
6,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
7,1,5
6,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
2,1,5
0,1,5
2,1,5
2,1,5
9,1,5
9,1,5
9,1,5
9,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
6,1,5
8,1,5
9,1,5
2,1,5
6,1,5
9,1,5
6,1,5
2,1,5
8,1,5
2,1,5
2,1,5
9,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
2,1,5
7,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
9,1,5
6,1,5
4,1,5
6,1,5
9,1,5
2,1,5
9,1,5
2,1,5
2,1,5
9,1,5
6,1,5
2,1,5
2,1,5
2,1,5
6,1,5
8,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
0,1,5
2,1,5
3,1,5
2,1,5
7,1,5
9,1,5
9,1,5
6,1,5
9,1,5
9,1,5
9,1,5
9,1,5
2,1,5
2,1,5
2,1,5
9,1,5
2,1,5
6,1,5
2,1,5
8,1,5
9,1,5
9,1,5
9,1,5
9,1,5
8,1,5
2,1,5
2,1,5
8,1,5
8,1,5
2,1,5
8,1,5
7,1,5
9,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
3,1,5
9,1,5
2,1,5
3,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
2,1,5
9,1,5
9,1,5
2,1,5
9,1,5
