NN1:,0.1468
NN1p:,0.6247
NN2:,0.11
NN2p:,0.5691
Para:,0.9785

Number of evaluation data: ,10000
Total number of correct results:,9785
Number of results when both subnetworks are right:,3197
Number of results when only network1 is wrong:,2450
Number of results when only network2 is wrong:,3005
Number of results when both subnetworks are wrong but the combined network is right:,1133

Detailed results when both subnetworks are wrong:,
8,2,5
8,2,5
8,2,9
2,3,4
8,2,5
8,2,5
8,2,5
0,2,9
9,3,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,3
8,2,9
2,9,7
8,2,5
8,2,5
8,2,5
0,2,9
0,8,9
8,2,5
8,2,5
1,2,3
2,1,7
5,0,3
8,3,5
2,1,7
5,3,9
8,2,5
8,1,5
8,2,5
8,2,5
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
0,9,9
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
7,9,3
2,1,7
8,2,5
2,1,7
6,2,5
8,2,5
8,2,3
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,3,7
8,2,5
2,1,7
8,2,5
8,2,5
5,3,9
8,2,5
0,2,7
8,2,5
8,2,5
8,2,5
2,6,7
8,2,5
2,1,7
8,2,5
2,1,7
8,2,5
8,2,5
8,3,3
8,2,3
8,2,3
8,2,5
8,2,5
8,2,3
8,2,5
2,9,7
8,2,5
5,3,3
8,2,5
8,2,5
8,2,7
8,2,5
8,2,5
5,3,7
8,2,5
8,2,5
2,9,7
5,3,9
5,3,3
2,9,7
2,1,7
8,2,3
8,2,5
2,3,7
8,2,5
8,9,5
8,2,5
2,1,7
5,3,9
8,2,5
8,2,5
8,2,5
2,6,7
8,2,5
2,3,7
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
2,6,7
0,6,3
8,2,9
2,3,7
8,2,3
2,1,7
8,2,5
2,1,7
8,2,5
8,2,5
2,1,7
2,3,7
2,1,7
2,9,7
8,2,5
8,2,5
2,1,7
8,2,5
8,9,5
8,2,5
8,2,5
8,2,5
0,2,4
8,2,3
8,2,3
8,2,3
2,1,4
0,2,9
2,1,7
8,9,5
8,2,5
8,7,5
8,2,5
8,2,3
6,2,5
5,3,9
8,2,5
2,8,7
8,2,3
8,2,5
2,6,7
8,2,5
8,2,5
5,3,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
2,3,3
8,2,5
2,1,7
8,2,5
8,2,5
2,9,7
8,2,5
8,2,5
2,3,7
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
7,9,4
8,2,5
2,1,7
8,2,5
2,1,7
8,2,5
8,2,5
2,1,7
8,2,5
8,2,5
5,3,9
0,1,3
2,1,7
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
2,9,7
8,2,5
8,2,5
8,2,7
8,2,5
8,2,5
2,1,7
6,3,5
8,2,5
8,2,5
8,2,5
8,2,9
8,2,5
2,1,7
8,2,5
8,2,5
2,1,7
2,1,7
2,8,7
8,2,5
8,9,5
2,1,7
2,1,7
8,9,3
2,1,7
8,2,5
8,9,5
8,2,5
8,2,5
8,2,5
8,2,5
0,2,9
2,9,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,1,5
8,2,5
8,2,5
8,2,5
0,2,9
3,9,7
8,2,5
5,3,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
5,3,7
8,2,5
8,2,5
8,2,5
2,1,7
2,6,7
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
8,2,5
5,3,4
2,1,7
2,1,7
8,2,5
8,2,5
8,2,5
6,9,4
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
8,2,5
0,2,4
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
6,1,4
8,3,5
5,3,9
6,1,4
8,2,4
8,2,5
8,2,5
1,2,3
1,2,7
2,1,7
8,2,5
8,2,5
8,3,5
8,2,9
8,2,5
8,2,5
8,2,3
2,1,7
8,2,3
8,2,5
8,2,5
8,2,5
5,3,7
5,3,9
2,1,7
8,2,3
8,2,5
5,3,9
8,2,3
2,1,7
5,3,9
2,1,7
5,3,9
2,1,7
8,2,5
8,2,5
0,8,7
8,2,5
8,2,3
2,1,7
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
8,2,5
8,2,5
2,8,3
8,2,5
0,2,3
2,1,7
8,2,5
8,2,5
8,2,5
2,1,7
2,1,7
2,1,7
2,1,7
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
8,2,5
2,1,7
2,1,7
2,1,7
2,1,7
8,2,5
0,1,7
2,1,7
6,2,3
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
8,2,5
2,1,7
2,1,7
2,1,7
2,1,7
2,1,7
8,2,5
2,1,7
8,2,5
